class,countInstances,timeInSec
http://yago-knowledge.org/resource/University_society,1,0
http://yago-knowledge.org/resource/Cup_and_ring_mark,1,0
http://yago-knowledge.org/resource/Walkway,1,0
http://yago-knowledge.org/resource/Civilian-run_enterprise,1,0
http://yago-knowledge.org/resource/Lesson,1,0
http://yago-knowledge.org/resource/Coppa_Bernocchi,1,0
http://yago-knowledge.org/resource/List_of_indirect_presidential_elections_in_France,1,0
http://yago-knowledge.org/resource/Phytogeography,1,0
http://yago-knowledge.org/resource/Rabbi,1,0
http://yago-knowledge.org/resource/Scout_troop,1,0
http://yago-knowledge.org/resource/Pathfinder_(library_science),1,0
http://yago-knowledge.org/resource/Chunlan_Cup,1,0
http://yago-knowledge.org/resource/Multiplex_(television),1,0
http://yago-knowledge.org/resource/Calendar_date,1,0
http://yago-knowledge.org/resource/Vereda,1,0
http://yago-knowledge.org/resource/Garden_centre,1,0
http://schema.org/PublicationVolume,1,0
http://yago-knowledge.org/resource/Gamma_Doradus_variable,1,0
http://yago-knowledge.org/resource/Hour,1,0
http://yago-knowledge.org/resource/Volost,1,0
http://yago-knowledge.org/resource/Bollard,1,0
http://yago-knowledge.org/resource/Los_Angeles_Marathon,1,0
http://yago-knowledge.org/resource/Description_logic,1,0
http://yago-knowledge.org/resource/Mug,1,0
http://yago-knowledge.org/resource/Isotopes_of_rubidium,1,0
http://yago-knowledge.org/resource/Benchmark_(surveying),1,0
http://yago-knowledge.org/resource/Trigraph_(orthography),1,0
http://yago-knowledge.org/resource/Ulpana,1,0
http://yago-knowledge.org/resource/Bakehouse_(building),1,0
http://yago-knowledge.org/resource/Realschule,1,0
http://yago-knowledge.org/resource/Isotopes_of_fluorine,1,0
http://yago-knowledge.org/resource/List_of_quadrangles_on_Venus,1,0
http://yago-knowledge.org/resource/Pilot_boat,1,0
http://yago-knowledge.org/resource/Fess,1,0
http://yago-knowledge.org/resource/Schutterij,1,0
http://yago-knowledge.org/resource/Study_group,1,0
http://yago-knowledge.org/resource/European_Triathlon_Championships,1,0
http://yago-knowledge.org/resource/Wildlife_crossing,1,0
http://yago-knowledge.org/resource/Lantern,1,0
http://yago-knowledge.org/resource/Stone_wall,1,0
http://yago-knowledge.org/resource/Torc,1,0
http://yago-knowledge.org/resource/Gemstone,1,0
http://yago-knowledge.org/resource/Panathenaic_amphora,1,0
http://yago-knowledge.org/resource/Neighborhood_park,1,0
http://yago-knowledge.org/resource/Quadrant_(instrument),1,0
http://yago-knowledge.org/resource/Ausbesserungswerk,1,0
http://yago-knowledge.org/resource/Scarab_(artifact),1,0
http://yago-knowledge.org/resource/River_Oaks_International_Tennis_Tournament,1,0
http://yago-knowledge.org/resource/Vuelta_Internacional_Femenina_a_Costa_Rica,1,0
http://yago-knowledge.org/resource/Liceo_linguistico,1,0
http://yago-knowledge.org/resource/Flyer_(pamphlet),1,0
http://yago-knowledge.org/resource/Baldachin,1,0
http://yago-knowledge.org/resource/Irish_Open_(tennis),1,0
http://yago-knowledge.org/resource/Trailer_park,1,0
http://yago-knowledge.org/resource/Season_finale,1,0
http://yago-knowledge.org/resource/Gran_Premio_della_Costa_Etruschi,1,0
http://yago-knowledge.org/resource/Dutch_Indoor_Athletics_Championships,1,0
http://yago-knowledge.org/resource/Well_house,1,0
http://yago-knowledge.org/resource/Volksmarching,1,0
http://yago-knowledge.org/resource/Signal_(IPC),1,0
http://yago-knowledge.org/resource/Fast_radio_burst,1,0
http://yago-knowledge.org/resource/Classic_Sud-Ardèche,1,0
http://yago-knowledge.org/resource/Leper_colony,1,0
http://yago-knowledge.org/resource/Attitude_(heraldry),1,0
http://yago-knowledge.org/resource/Preprint,1,0
http://yago-knowledge.org/resource/French_National_Badminton_Championships,1,0
http://yago-knowledge.org/resource/Revival_house,1,0
http://yago-knowledge.org/resource/Crock_(dishware),1,0
http://yago-knowledge.org/resource/Branch_office,1,0
http://yago-knowledge.org/resource/Armour,1,0
http://yago-knowledge.org/resource/Sty,1,0
http://yago-knowledge.org/resource/Community_foundation,1,0
http://yago-knowledge.org/resource/Amateur_theatre,1,0
http://yago-knowledge.org/resource/Ivory_carving,1,0
http://yago-knowledge.org/resource/Court_of_Appeal_(France),1,0
http://yago-knowledge.org/resource/Quadrille,1,0
http://yago-knowledge.org/resource/Gravel_pit,1,0
http://yago-knowledge.org/resource/Collaborative_Research_Centres,1,0
http://yago-knowledge.org/resource/Stout,1,0
http://yago-knowledge.org/resource/Isotopes_of_neon,1,0
http://yago-knowledge.org/resource/Pirate_radio,1,0
http://yago-knowledge.org/resource/Antique_shop,1,0
http://yago-knowledge.org/resource/Tata_Steel_Chess_Tournament,1,0
http://yago-knowledge.org/resource/Cadastral_community,1,0
http://yago-knowledge.org/resource/Ikastola,1,0
http://yago-knowledge.org/resource/Woodland_cemetery,1,0
http://yago-knowledge.org/resource/Qijue,1,0
http://yago-knowledge.org/resource/New_Zealand_Cycle_Classic,1,0
http://yago-knowledge.org/resource/Tomb_effigy,1,0
http://yago-knowledge.org/resource/Visual_arts,2,0
http://yago-knowledge.org/resource/Studium_generale,2,0
http://yago-knowledge.org/resource/Norwegian_Official_Report,2,0
http://schema.org/RadiationTherapy,2,0
http://yago-knowledge.org/resource/Lintel,2,0
http://yago-knowledge.org/resource/Patent,2,0
http://yago-knowledge.org/resource/Engineering,2,0
http://yago-knowledge.org/resource/Kenesa,2,0
http://yago-knowledge.org/resource/Brochure,2,0
http://yago-knowledge.org/resource/Orion_variable,2,0
http://yago-knowledge.org/resource/L_chondrite,2,0
http://yago-knowledge.org/resource/Photomontage,2,0
http://yago-knowledge.org/resource/Gongen,2,0
http://yago-knowledge.org/resource/Bijou_(jewellery),2,0
http://yago-knowledge.org/resource/Shinkin_bank,2,0
http://yago-knowledge.org/resource/Book_sales_club,2,0
http://yago-knowledge.org/resource/Sobrado_(architecture),2,0
